;0501;0502;0503;0504;0505;0506;0507;0508;0509;0510;0511;0512;0513;0514;0515;0516;0517;0518;0519;0520;0521;0522;0523;0524;0525;0526
0501;0;1;1;0;1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;1;1
0502;1;0;0;0;1;0;1;1;1;1;0;1;0;0;1;1;0;0;0;1;1;1;0;0;1;0
0503;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;1;0;0
0504;0;0;1;0;1;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0
0505;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
0506;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1;0;0
0507;0;1;1;1;0;1;0;1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;1;0;1;0
0508;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0
0509;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
0510;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1
0511;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
0512;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0
0513;1;0;1;0;1;1;0;0;0;1;1;0;0;1;1;1;0;1;1;0;0;1;1;1;1;1
0514;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0
0515;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1
0516;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
0517;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1
0518;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0519;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0
0520;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0521;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
0522;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
0523;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0
0524;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0
0525;1;1;0;0;1;0;1;1;0;0;0;1;1;1;0;1;1;0;1;1;1;1;1;1;0;1
0526;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0
